********************************************************************************
product = Open Liberty 20.0.0.11 (wlp-1.0.46.cl201120201014-1215)
wlp.install.dir = C:/Users/Józek/IdeaProjects/film-database/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk-11.0.8
java.version = 11.0.8
java.runtime = Java(TM) SE Runtime Environment (11.0.8+10-LTS)
os = Windows 10 (10.0; amd64) (en_GB)
process = 13160@LAPTOP-STG78NFK
********************************************************************************
[05/11/2020, 16:46:52:057 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.SERIALIZE_SERVER_STATE' found, using default value 'false'.
[05/11/2020, 16:46:52:057 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DEFAULT_SUFFIX' found, using default value '.xhtml .view.xml .jsp'.
[05/11/2020, 16:46:52:057 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_SUFFIX' found, using default value '.xhtml'.
[05/11/2020, 16:46:52:057 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_VIEW_MAPPINGS' found.
[05/11/2020, 16:46:52:057 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DISABLE_FACELET_JSF_VIEWHANDLER' found.
[05/11/2020, 16:46:52:057 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_BUFFER_SIZE' found, using default value '1024'.
[05/11/2020, 16:46:52:058 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_DECORATORS' found.
[05/11/2020, 16:46:52:058 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_LIBRARIES' found.
[05/11/2020, 16:46:52:058 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_REFRESH_PERIOD' found, using default value '-1'.
[05/11/2020, 16:46:52:058 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_SKIP_COMMENTS' found.
[05/11/2020, 16:46:52:058 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.HONOR_CURRENT_COMPONENT_ATTRIBUTES' found, using default value 'false'.
[05/11/2020, 16:46:52:058 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.VALIDATE_EMPTY_FIELDS' found, using default value 'auto'.
[05/11/2020, 16:46:52:058 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.INTERPRET_EMPTY_STRING_SUBMITTED_VALUES_AS_NULL' found, using default value 'false'.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CLEAR_INPUT_WHEN_SUBMITTED_VALUE_IS_NULL_OR_EMPTY' found, using default value 'true'.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.ALWAYS_PERFORM_VALIDATION_WHEN_REQUIRED_IS_TRUE' found, using default value 'false'.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.VIEWROOT_PHASE_LISTENER_QUEUES_EXCEPTIONS' found, using default value 'false'.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DATETIMECONVERTER_DEFAULT_TIMEZONE_IS_SYSTEM_TIMEZONE' found, using default value 'false'.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.ENUM_CONVERTER_ALLOW_STRING_PASSTROUGH' found, using default value 'false'.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.validator.DISABLE_DEFAULT_BEAN_VALIDATOR' found, using default value 'true'.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.validator.ENABLE_VALIDATE_WHOLE_BEAN' found, using default value 'false'.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.CONFIG_FILES' found.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.LIFECYCLE_ID' found.
[05/11/2020, 16:46:52:059 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DISABLE_FACESSERVLET_TO_XHTML' found.
[05/11/2020, 16:46:52:060 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CHECKED_VIEWID_CACHE_SIZE' found, using default value '500'.
[05/11/2020, 16:46:52:060 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CHECKED_VIEWID_CACHE_ENABLED' found, using default value 'true'.
[05/11/2020, 16:46:52:060 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.PRETTY_HTML' found, using default value 'true'.
[05/11/2020, 16:46:52:060 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.ALLOW_JAVASCRIPT' found, using default value 'true'.
[05/11/2020, 16:46:52:060 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CONFIG_REFRESH_PERIOD' found, using default value '2'.
[05/11/2020, 16:46:52:060 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.VIEWSTATE_JAVASCRIPT' found, using default value 'false'.
[05/11/2020, 16:46:52:060 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.RENDER_VIEWSTATE_ID' found, using default value 'true'.
[05/11/2020, 16:46:52:060 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.STRICT_XHTML_LINKS' found, using default value 'true'.
[05/11/2020, 16:46:52:060 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.RENDER_CLEAR_JAVASCRIPT_FOR_BUTTON' found, using default value 'false'.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.RENDER_HIDDEN_FIELDS_FOR_LINK_PARAMS' found, using default value 'false'.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.SAVE_FORM_SUBMIT_LINK_IE' found, using default value 'false'.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.DELEGATE_FACES_SERVLET' found.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.REFRESH_TRANSIENT_BUILD_ON_PSS' found, using default value 'auto'.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.REFRESH_TRANSIENT_BUILD_ON_PSS_PRESERVE_STATE' found, using default value 'false'.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.VALIDATE_XML' found.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.WRAP_SCRIPT_CONTENT_WITH_XML_COMMENT_TAG' found, using default value 'false'.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.RENDER_FORM_SUBMIT_SCRIPT_INLINE' found, using default value 'false'.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.DEBUG_PHASE_LISTENER' found.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.STRICT_JSF_2_CC_EL_RESOLVER' found, using default value 'false'.
[05/11/2020, 16:46:52:061 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.DEFAULT_RESPONSE_WRITER_CONTENT_TYPE_MODE' found, using default value 'text/html'.
[05/11/2020, 16:46:52:062 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.VIEW_UNIQUE_IDS_CACHE_ENABLED' found, using default value 'true'.
[05/11/2020, 16:46:52:062 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.COMPONENT_UNIQUE_IDS_CACHE_SIZE' found, using default value '100'.
[05/11/2020, 16:46:52:062 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.SUPPORT_JSP_AND_FACES_EL' found, using default value 'true'.
[05/11/2020, 16:46:52:062 CET] 0000002d org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.SUPPORT_MANAGED_BEANS' found, using default value 'true'.
